PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
31,32,31,40,1017,31,32,31,31,32,31,30,28,31,31,31,31,31,31,31,28,31,32,32,31,31,31,31,28,32,31,32,-26155,1366,13824,6171,-17351,12764,96.11995967741936,219.2016129032258,1984
31,31,32,40,1123,32,33,31,31,136,104,30,27,32,32,31,31,31,31,30,28,31,31,31,31,31,31,30,28,31,31,32,-29115,-461,6144,6078,-12806,9581,96.59580573951436,214.65827814569536,2265
32,30,30,41,1247,31,155,31,31,297,311,30,27,31,31,32,31,30,30,31,27,32,31,31,31,30,31,31,27,32,31,31,-32764,-6675,3204,10211,-7968,5885,97.95198329853862,209.84411969380653,2874
32,30,30,40,1405,32,164,31,32,447,510,31,26,32,30,31,32,30,29,31,27,31,30,31,31,30,29,30,27,32,30,31,-32764,-6675,3204,10211,-7968,5885,97.67922576832152,205.909426713948,3384
31,30,31,40,1282,31,216,31,31,402,238,30,27,32,30,31,31,30,31,31,27,32,30,31,31,30,31,31,27,31,30,31,-32764,-15375,-520,6895,-2055,4132,100.01067378252168,209.92394929953304,2998
31,31,33,41,923,32,246,29,31,44,30,31,28,31,31,30,31,36,503,30,28,31,30,655,31,32,29,31,28,31,30,28,-29423,-9514,569,-4512,8837,1910,96.57860262008734,298.36478477854024,3206
25,31,934,29,406,28,225,23,24,31,21,24,25,27,31,23,2193,70,1848,2285,1867,1605,140,2562,19,30,21,23,23,25,30,22,7426,226,24989,-8091,11510,-510,94.14369461486028,435.09911383776415,14670
22,133,1319,24,45,180,143,21,21,26,18,21,22,21,25,21,2954,1263,2100,2977,2797,2654,1709,3140,19,29,20,21,21,21,24,20,-2692,-1090,11445,-5511,10207,-3040,90.21490082909624,438.7573633823462,21831
22,647,1425,23,127,340,308,21,20,230,18,20,21,20,22,20,3120,1653,2124,3183,2884,2862,2370,3267,19,22,20,20,20,20,22,20,-5633,3617,25351,-886,13080,-4841,91.2911481332798,430.4356884785227,24910
22,1348,1590,23,336,528,371,47,20,391,18,20,20,20,21,20,3180,1443,2053,3250,2753,2777,2638,3248,19,20,19,20,20,19,21,20,-5633,3617,25351,-886,13080,-4841,93.45366039170943,422.7122076440388,26295
329,1423,1641,87,731,984,714,328,41,610,118,20,20,20,20,20,2781,1483,1950,3195,2420,2414,2429,3015,72,19,19,20,20,19,20,20,-5581,11546,17021,-2743,9963,-3485,97.42789423005703,402.6431745796608,27002
613,1357,1611,360,1271,1288,1030,528,188,729,216,20,20,20,20,20,2343,1504,1918,2975,2062,2241,2321,2891,237,19,19,20,19,20,20,20,-2400,2371,13038,-6286,6425,-1420,99.835888252149,382.6950393982808,27920
758,1281,1517,577,1512,1355,1274,656,415,815,391,45,20,20,20,20,2002,1439,1804,2798,1926,2169,2183,2796,385,103,91,20,19,91,20,20,-2176,2134,9698,-3998,2276,-575,100.38313713124518,367.2271739892089,28542
787,1217,1408,687,1602,1358,1325,723,503,849,511,119,20,20,20,20,1826,1414,1699,2593,1879,2103,2174,2753,486,217,193,122,19,174,20,20,-1632,2224,8839,-1641,338,-261,99.57835833824193,357.1658812930945,28861
817,1173,1364,723,1641,1348,1334,757,564,867,564,168,22,20,20,20,1708,1375,1644,2467,1847,2045,2322,2733,553,295,252,172,20,247,21,20,-1242,2260,8416,-593,109,-161,98.83411736428252,351.52473989630187,29123
