PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
38,58,257,27,243,878,1380,466,1774,1095,1047,935,1416,1003,383,560,43,138,344,21,387,362,712,607,629,1641,1356,1737,1272,1121,32,1223,-267,2310,7958,-204,-1049,334,76.89620444252749,300.6327582488678,23185
46,65,318,28,293,975,1398,536,1862,1191,1122,1037,1331,887,367,515,72,182,398,23,473,426,745,738,450,1441,1152,1460,1148,1029,27,982,-216,2168,8030,-516,-903,301,76.58597085882819,284.24133908526653,22717
50,76,377,29,351,1055,1415,621,1910,1266,1202,1142,1191,754,354,470,121,229,433,24,543,549,810,863,291,1260,978,1218,1094,928,23,684,-103,1995,8058,-574,-712,342,76.95522388059702,267.3642821926404,22311
50,84,430,30,418,1126,1412,704,1954,1351,1234,1244,999,641,370,424,181,282,506,25,634,642,844,975,181,1079,825,993,1046,819,23,489,-103,1995,8058,-574,-712,342,77.24942084942084,251.54094935271405,22015
51,89,480,31,489,1192,1415,810,1996,1458,1254,1326,862,547,373,408,252,307,576,51,720,754,867,1108,59,927,727,809,955,711,23,238,-72,1932,8161,-381,-627,263,77.64184770180654,235.61310313286077,21865
51,106,527,32,562,1276,1435,856,1999,1552,1288,1393,780,449,392,404,323,352,599,59,788,813,869,1178,53,771,630,663,886,626,22,156,-31,2037,8154,-152,-538,204,77.69677935130197,224.8107811786204,21890
51,115,580,35,621,1358,1462,910,2023,1700,1323,1473,724,340,410,435,391,357,650,42,839,883,887,1219,23,599,520,553,799,552,23,77,-55,2104,8124,0,-508,242,77.21056703376718,214.42846090834624,21974
50,107,615,35,695,1468,1468,961,2045,1821,1361,1565,614,262,417,386,451,401,686,40,912,954,914,1297,23,459,422,386,708,456,22,33,-28,2198,8117,-53,-542,308,77.27999909231188,203.7328900789689,22034
48,109,679,39,771,1544,1482,1020,2029,1923,1367,1698,568,154,440,338,555,445,743,43,965,1045,942,1411,22,352,348,95,652,329,22,22,-28,2198,8117,-53,-542,308,77.68472972972972,192.19635135135132,22200
63,118,730,47,876,1620,1514,1038,1997,1966,1387,1807,465,106,444,295,688,512,804,43,1042,1172,965,1563,22,261,270,24,558,236,22,22,45,2289,8099,-231,-640,384,78.92534285840279,183.45250694536315,22677
62,119,805,75,970,1670,1569,1067,1964,2039,1392,1820,336,42,430,244,814,608,828,68,1110,1270,980,1671,22,133,204,24,518,148,22,21,15,2098,8385,-283,-825,471,80.1057713169885,175.3142981123888,23045
86,136,866,113,1091,1697,1607,1078,1895,2107,1382,1804,225,21,407,215,958,695,890,111,1197,1377,1009,1740,22,31,136,24,366,60,21,21,75,2226,8545,-189,-1125,568,81.4077090815803,166.7964554472379,23388
